	X.X	Y.Y
('C-51995_BALBc-1_X01_Y01_412_107', 'Cell Type: B cells')	412	1893
('C-52220_BALBc-1_X01_Y01_414_632', 'Cell Type: B cells')	414	1368
('C-52340_BALBc-1_X01_Y01_416_366', 'Cell Type: B cells')	416	1634
('C-52585_BALBc-1_X01_Y01_419_56', 'Cell Type: B cells')	419	1944
('C-53186_BALBc-1_X01_Y01_426_497', 'Cell Type: B cells')	426	1503
('C-53439_BALBc-1_X01_Y01_429_519', 'Cell Type: B cells')	429	1481
('C-53460_BALBc-1_X01_Y01_429_728', 'Cell Type: B cells')	429	1272
('C-54293_BALBc-1_X01_Y01_439_281', 'Cell Type: B cells')	439	1719
('C-54995_BALBc-1_X01_Y01_447_636', 'Cell Type: B cells')	447	1364
('C-55049_BALBc-1_X01_Y01_448_341', 'Cell Type: B cells')	448	1659
('C-55837_BALBc-1_X01_Y01_457_685', 'Cell Type: B cells')	457	1315
('C-55843_BALBc-1_X01_Y01_457_714', 'Cell Type: B cells')	457	1286
('C-56224_BALBc-1_X01_Y01_461_819', 'Cell Type: B cells')	461	1181
('C-56566_BALBc-1_X01_Y01_466_376', 'Cell Type: B cells')	466	1624
('C-56664_BALBc-1_X01_Y01_467_502', 'Cell Type: B cells')	467	1498
('C-56683_BALBc-1_X01_Y01_467_748', 'Cell Type: B cells')	467	1252
('C-56772_BALBc-1_X01_Y01_468_926', 'Cell Type: B cells')	468	1074
('C-56830_BALBc-1_X01_Y01_469_709', 'Cell Type: B cells')	469	1291
('C-57728_BALBc-1_X01_Y01_48_342', 'Cell Type: B cells')	48	1658
('C-57798_BALBc-1_X01_Y01_480_352', 'Cell Type: B cells')	480	1648
('C-57888_BALBc-1_X01_Y01_481_332', 'Cell Type: B cells')	481	1668
('C-58066_BALBc-1_X01_Y01_483_751', 'Cell Type: B cells')	483	1249
('C-58300_BALBc-1_X01_Y01_486_59', 'Cell Type: B cells')	486	1941
('C-58405_BALBc-1_X01_Y01_487_989', 'Cell Type: B cells')	487	1011
('C-58769_BALBc-1_X01_Y01_491_835', 'Cell Type: B cells')	491	1165
('C-59185_BALBc-1_X01_Y01_496_860', 'Cell Type: B cells')	496	1140
('C-59663_BALBc-1_X01_Y01_501_885', 'Cell Type: B cells')	501	1115
('C-59817_BALBc-1_X01_Y01_504_173', 'Cell Type: B cells')	504	1827
('C-60154_BALBc-1_X01_Y01_508_261', 'Cell Type: B cells')	508	1739
('C-60544_BALBc-1_X01_Y01_512_387', 'Cell Type: B cells')	512	1613
('C-61293_BALBc-1_X01_Y01_520_799', 'Cell Type: B cells')	520	1201
('C-61360_BALBc-1_X01_Y01_521_696', 'Cell Type: B cells')	521	1304
('C-61696_BALBc-1_X01_Y01_525_94', 'Cell Type: B cells')	525	1906
('C-62336_BALBc-1_X01_Y01_533_397', 'Cell Type: B cells')	533	1603
('C-62423_BALBc-1_X01_Y01_534_722', 'Cell Type: B cells')	534	1278
('C-62444_BALBc-1_X01_Y01_534_959', 'Cell Type: B cells')	534	1041
('C-63078_BALBc-1_X01_Y01_542_700', 'Cell Type: B cells')	542	1300
('C-63087_BALBc-1_X01_Y01_542_797', 'Cell Type: B cells')	542	1203
('C-63522_BALBc-1_X01_Y01_547_973', 'Cell Type: B cells')	547	1027
('C-63778_BALBc-1_X01_Y01_550_157', 'Cell Type: B cells')	550	1843
('C-63964_BALBc-1_X01_Y01_552_62', 'Cell Type: B cells')	552	1938
('C-64005_BALBc-1_X01_Y01_553_25', 'Cell Type: B cells')	553	1975
('C-64010_BALBc-1_X01_Y01_553_292', 'Cell Type: B cells')	553	1708
('C-65182_BALBc-1_X01_Y01_567_223', 'Cell Type: B cells')	567	1777
('C-65656_BALBc-1_X01_Y01_572_784', 'Cell Type: B cells')	572	1216
('C-66746_BALBc-1_X01_Y01_586_262', 'Cell Type: B cells')	586	1738
('C-66807_BALBc-1_X01_Y01_586_921', 'Cell Type: B cells')	586	1079
('C-67268_BALBc-1_X01_Y01_591_693', 'Cell Type: B cells')	591	1307
('C-67677_BALBc-1_X01_Y01_596_954', 'Cell Type: B cells')	596	1046
('C-68075_BALBc-1_X01_Y01_600_937', 'Cell Type: B cells')	600	1063
('C-68258_BALBc-1_X01_Y01_603_416', 'Cell Type: B cells')	603	1584
('C-68390_BALBc-1_X01_Y01_605_263', 'Cell Type: B cells')	605	1737
('C-68460_BALBc-1_X01_Y01_605_972', 'Cell Type: B cells')	605	1028
('C-68786_BALBc-1_X01_Y01_609_707', 'Cell Type: B cells')	609	1293
('C-69393_BALBc-1_X01_Y01_616_802', 'Cell Type: B cells')	616	1198
('C-69452_BALBc-1_X01_Y01_617_654', 'Cell Type: B cells')	617	1346
('C-69556_BALBc-1_X01_Y01_618_844', 'Cell Type: B cells')	618	1156
('C-69767_BALBc-1_X01_Y01_620_771', 'Cell Type: B cells')	620	1229
('C-70401_BALBc-1_X01_Y01_628_954', 'Cell Type: B cells')	628	1046
('C-70856_BALBc-1_X01_Y01_633_693', 'Cell Type: B cells')	633	1307
('C-71169_BALBc-1_X01_Y01_637_858', 'Cell Type: B cells')	637	1142
('C-72334_BALBc-1_X01_Y01_650_922', 'Cell Type: B cells')	650	1078
('C-72558_BALBc-1_X01_Y01_653_790', 'Cell Type: B cells')	653	1210
('C-72805_BALBc-1_X01_Y01_656_972', 'Cell Type: B cells')	656	1028
('C-73338_BALBc-1_X01_Y01_662_687', 'Cell Type: B cells')	662	1313
('C-74854_BALBc-1_X01_Y01_680_662', 'Cell Type: B cells')	680	1338
('C-75831_BALBc-1_X01_Y01_692_998', 'Cell Type: B cells')	692	1002
('C-76190_BALBc-1_X01_Y01_697_768', 'Cell Type: B cells')	697	1232
('C-76418_BALBc-1_X01_Y01_7_625', 'Cell Type: B cells')	7	1375
('C-77472_BALBc-1_X01_Y01_711_676', 'Cell Type: B cells')	711	1324
('C-77475_BALBc-1_X01_Y01_711_742', 'Cell Type: B cells')	711	1258
('C-77792_BALBc-1_X01_Y01_715_768', 'Cell Type: B cells')	715	1232
('C-78451_BALBc-1_X01_Y01_722_839', 'Cell Type: B cells')	722	1161
